Experiment	bias spectroscopy	
Date	21.11.2022 12:31:28	
User		
X (m)	521.149E-9	
Y (m)	-513.365E-9	
Z (m)	-106.678E-9	
Z offset (m)	0E+0	
Settling time (s)	4E-3	
Integration time (s)	8E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	-106.684E-9	
Filter type	None	
Order		
Cutoff frq		
Comment01	SiC	

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
-896.383E-3	-6.54449E-12	-16.7208E-12	731.709E-15
-893.646E-3	-9.67617E-12	-16.5623E-12	739.892E-15
-890.909E-3	-10.4412E-12	-16.4758E-12	926.175E-15
-888.172E-3	-11.2812E-12	-16.5677E-12	1.01859E-12
-885.435E-3	-10.0264E-12	-16.8174E-12	991.939E-15
-882.698E-3	-7.41997E-12	-16.4278E-12	1.02727E-12
-879.961E-3	-6.54812E-12	-16.6672E-12	677.205E-15
-877.224E-3	-5.71079E-12	-16.3184E-12	989.988E-15
-874.487E-3	-7.59468E-12	-16.7415E-12	812.163E-15
-871.750E-3	-8.77762E-12	-16.4440E-12	1.04342E-12
-869.013E-3	-11.3708E-12	-16.5253E-12	1.00310E-12
-866.276E-3	-10.8866E-12	-16.5849E-12	617.008E-15
-863.539E-3	-8.64563E-12	-16.4987E-12	1.06877E-12
-860.802E-3	-6.14262E-12	-16.5681E-12	759.288E-15
-858.064E-3	-5.69248E-12	-16.5139E-12	904.705E-15
-855.327E-3	-5.98297E-12	-16.6440E-12	921.860E-15
-852.590E-3	-8.23154E-12	-16.5504E-12	868.270E-15
-849.853E-3	-11.0388E-12	-16.7018E-12	1.28985E-12
-847.116E-3	-11.3800E-12	-16.4467E-12	1.11005E-12
-844.379E-3	-9.58710E-12	-16.3733E-12	951.211E-15
-841.642E-3	-5.71518E-12	-16.4409E-12	888.595E-15
-838.905E-3	-5.04856E-12	-16.7260E-12	858.014E-15
-836.168E-3	-5.40867E-12	-16.6780E-12	742.215E-15
-833.431E-3	-8.62083E-12	-16.5290E-12	911.148E-15
-830.694E-3	-10.2989E-12	-16.6388E-12	967.002E-15
-827.957E-3	-11.2207E-12	-16.6061E-12	1.09767E-12
-825.220E-3	-8.34808E-12	-16.4770E-12	977.166E-15
-822.483E-3	-5.60284E-12	-16.4033E-12	984.243E-15
-819.746E-3	-4.87480E-12	-16.6377E-12	736.462E-15
-817.009E-3	-5.77164E-12	-16.4455E-12	754.919E-15
-814.272E-3	-8.53977E-12	-16.7068E-12	882.889E-15
-811.535E-3	-8.87947E-12	-16.6259E-12	1.03876E-12
-808.798E-3	-10.0235E-12	-16.6961E-12	879.739E-15
-806.061E-3	-7.35130E-12	-16.3904E-12	1.10791E-12
-803.324E-3	-6.00529E-12	-16.5297E-12	943.760E-15
-800.586E-3	-4.82655E-12	-16.6895E-12	851.905E-15
-797.849E-3	-6.32782E-12	-16.4775E-12	1.00726E-12
-795.112E-3	-8.02822E-12	-16.6533E-12	876.925E-15
-792.375E-3	-9.15909E-12	-16.5938E-12	1.10852E-12
-789.638E-3	-8.50391E-12	-16.4891E-12	1.06934E-12
-786.901E-3	-6.81820E-12	-16.5870E-12	867.456E-15
-784.164E-3	-5.39398E-12	-16.5326E-12	933.561E-15
-781.427E-3	-4.91066E-12	-16.6552E-12	788.853E-15
-778.690E-3	-6.16627E-12	-16.7367E-12	999.108E-15
-775.953E-3	-6.97632E-12	-16.6691E-12	867.493E-15
-773.216E-3	-8.64754E-12	-16.7552E-12	880.253E-15
-770.479E-3	-7.70168E-12	-16.4147E-12	1.06635E-12
-767.742E-3	-7.79629E-12	-16.4630E-12	1.10196E-12
-765.005E-3	-5.23472E-12	-16.6150E-12	1.09003E-12
-762.268E-3	-4.94347E-12	-16.4962E-12	824.983E-15
-759.531E-3	-4.66843E-12	-16.5873E-12	886.714E-15
-756.794E-3	-5.83649E-12	-16.4764E-12	1.00047E-12
-754.057E-3	-7.91111E-12	-16.6720E-12	942.891E-15
-751.320E-3	-7.76024E-12	-16.5851E-12	1.36393E-12
-748.583E-3	-7.91187E-12	-16.5226E-12	936.183E-15
-745.845E-3	-5.69038E-12	-16.3497E-12	1.29090E-12
-743.108E-3	-4.34761E-12	-16.6087E-12	867.546E-15
-740.371E-3	-3.80020E-12	-16.6205E-12	930.042E-15
-737.634E-3	-5.21526E-12	-16.6207E-12	924.349E-15
-734.897E-3	-6.44226E-12	-16.6757E-12	1.30519E-12
-732.160E-3	-7.92351E-12	-16.5766E-12	1.48022E-12
-729.423E-3	-7.41653E-12	-16.5023E-12	1.42089E-12
-726.686E-3	-6.10657E-12	-16.5153E-12	1.44726E-12
-723.949E-3	-3.81851E-12	-16.4936E-12	1.16623E-12
-721.212E-3	-3.17364E-12	-16.6009E-12	993.447E-15
-718.475E-3	-4.34666E-12	-16.4850E-12	1.00323E-12
-715.738E-3	-5.58357E-12	-16.5097E-12	1.40622E-12
-713.001E-3	-8.02612E-12	-16.5157E-12	1.59701E-12
-710.264E-3	-6.50806E-12	-16.4646E-12	1.70050E-12
-707.527E-3	-5.66311E-12	-16.2813E-12	1.36352E-12
-704.790E-3	-3.89843E-12	-16.4913E-12	1.32698E-12
-702.053E-3	-3.13797E-12	-16.6747E-12	1.22846E-12
-699.316E-3	-3.78075E-12	-16.5131E-12	1.11117E-12
